lo_id,course_name,group_name
609042,"Математика для начинающих",26.09
593268,"Первые шаги в робототехнику",26.09
592723,"Подготовка к олимпиаде «Русский медвежонок»",26.09
593268,"Подготовка к олимпиаде «Русский медвежонок»",26.09
592723,"Академическое письмо (Academic Writing)",26.09
530413,"Математика для начинающих",26.09
532042,"Лингвистика для начинающих",26.09
547444,"Математика для начинающих",26.09
608811,"Подготовка к олимпиаде «Русский медвежонок»",26.09
547444,"Биологический калейдоскоп",26.09
565356,"Лингвистика для начинающих",26.09
569257,"Академическое письмо (Academic Writing)",26.09
565356,"Академическое письмо (Academic Writing)",26.09
599570,"Основы программирования на языке Python",26.09
599570,"Биологический калейдоскоп",26.09
575488,"Основы программирования на языке Python",26.09
544704,"Академическое письмо (Academic Writing)",26.09
528759,"Основы программирования на языке Python",26.09
575488,"Биологический калейдоскоп",26.09
599570,"Математика для начинающих",26.09
599570,"Подготовка к олимпиаде «Русский медвежонок»",26.09
528759,"Лингвистика для начинающих",26.09
599570,"Лингвистика для начинающих",26.09
602800,"Академическое письмо (Academic Writing)",26.09
599570,"Первые шаги в робототехнику",26.09
442687,"Лингвистика для начинающих",26.09
442687,"Академическое письмо (Academic Writing)",26.09
442687,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609084,"Математика для начинающих",26.09
431087,"Основы программирования на языке Python",26.09
542228,"Основы программирования на языке Python",26.09
431087,"Подготовка к олимпиаде «Русский медвежонок»",26.09
593169,"Биологический калейдоскоп",26.09
593169,"Подготовка к олимпиаде «Русский медвежонок»",26.09
593169,"Основы программирования на языке Python",26.09
593169,"Первые шаги в робототехнику",26.09
609086,"Основы программирования на языке Python",26.09
609085,"Академическое письмо (Academic Writing)",26.09
525392,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609073,"Математика для начинающих",26.09
609088,"Академическое письмо (Academic Writing)",26.09
609096,"Биологический калейдоскоп",26.09
530870,"Академическое письмо (Academic Writing)",26.09
528400,"Математика для начинающих",26.09
567828,"Подготовка к олимпиаде «Русский медвежонок»",26.09
567828,"Биологический калейдоскоп",26.09
528400,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609105,"Математика для начинающих",26.09
609106,"Основы программирования на языке Python",26.09
609103,"Математика для начинающих",26.09
609107,"Математика для начинающих",26.09
609084,"Биологический калейдоскоп",26.09
609107,"Подготовка к олимпиаде «Русский медвежонок»",26.09
551178,"Математика для начинающих",26.09
609107,"Биологический калейдоскоп",26.09
582058,"Академическое письмо (Academic Writing)",26.09
527171,"Математика для начинающих",26.09
551198,"Математика для начинающих",26.09
551198,"Биологический калейдоскоп",26.09
575428,"Биологический калейдоскоп",26.09
609115,"Основы программирования на языке Python",26.09
606131,"Математика для начинающих",26.09
503813,"Основы программирования на языке Python",26.09
530923,"Математика для начинающих",26.09
590627,"Лингвистика для начинающих",26.09
609120,"Основы программирования на языке Python",26.09
592901,"Основы программирования на языке Python",26.09
549630,"Основы программирования на языке Python",26.09
609122,"Основы программирования на языке Python",26.09
609121,"Биологический калейдоскоп",26.09
609121,"Подготовка к олимпиаде «Русский медвежонок»",26.09
549630,"Биологический калейдоскоп",26.09
609125,"Математика для начинающих",26.09
608502,"Математика для начинающих",26.09
608502,"Основы программирования на языке Python",26.09
609129,"Основы программирования на языке Python",26.09
431782,"Подготовка к олимпиаде «Русский медвежонок»",26.09
431782,"Первые шаги в робототехнику",26.09
577350,"Подготовка к олимпиаде «Русский медвежонок»",26.09
577350,"Лингвистика для начинающих",26.09
509776,"Математика для начинающих",26.09
606343,"Математика для начинающих",26.09
609050,"Академическое письмо (Academic Writing)",26.09
509776,"Лингвистика для начинающих",26.09
509776,"Биологический калейдоскоп",26.09
509776,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609144,"Основы программирования на языке Python",26.09
607956,"Основы программирования на языке Python",26.09
532392,"Лингвистика для начинающих",26.09
532392,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609151,"Подготовка к олимпиаде «Русский медвежонок»",26.09
521346,"Основы программирования на языке Python",26.09
608477,"Первые шаги в робототехнику",26.09
608477,"Биологический калейдоскоп",26.09
608477,"Математика для начинающих",26.09
588914,"Первые шаги в робототехнику",26.09
609096,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609096,"Академическое письмо (Academic Writing)",26.09
547514,"Первые шаги в робототехнику",26.09
546079,"Математика для начинающих",26.09
567280,"Основы программирования на языке Python",26.09
606373,"Лингвистика для начинающих",26.09
571845,"Биологический калейдоскоп",26.09
518747,"Первые шаги в робототехнику",26.09
605144,"Подготовка к олимпиаде «Русский медвежонок»",26.09
605144,"Основы программирования на языке Python",26.09
553440,"Основы программирования на языке Python",26.09
604202,"Биологический калейдоскоп",26.09
541390,"Лингвистика для начинающих",26.09
606185,"Подготовка к олимпиаде «Русский медвежонок»",26.09
458391,"Основы программирования на языке Python",26.09
609168,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609137,"Основы программирования на языке Python",26.09
609163,"Математика для начинающих",26.09
407889,"Основы программирования на языке Python",26.09
407889,"Подготовка к олимпиаде «Русский медвежонок»",26.09
407889,"Лингвистика для начинающих",26.09
609176,"Основы программирования на языке Python",26.09
601620,"Математика для начинающих",26.09
573666,"Академическое письмо (Academic Writing)",26.09
550003,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609181,"Академическое письмо (Academic Writing)",26.09
609181,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609183,"Математика для начинающих",26.09
606050,"Основы программирования на языке Python",26.09
609182,"Математика для начинающих",26.09
609182,"Подготовка к олимпиаде «Русский медвежонок»",26.09
570462,"Подготовка к олимпиаде «Русский медвежонок»",26.09
574515,"Основы программирования на языке Python",26.09
609182,"Биологический калейдоскоп",26.09
574515,"Математика для начинающих",26.09
585712,"Биологический калейдоскоп",26.09
599522,"Математика для начинающих",26.09
523390,"Биологический калейдоскоп",26.09
609191,"Основы программирования на языке Python",26.09
525377,"Основы программирования на языке Python",26.09
609188,"Академическое письмо (Academic Writing)",26.09
609199,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609199,"Математика для начинающих",26.09
574675,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609199,"Биологический калейдоскоп",26.09
562396,"Академическое письмо (Academic Writing)",26.09
562396,"Основы программирования на языке Python",26.09
609095,"Биологический калейдоскоп",26.09
609189,"Основы программирования на языке Python",26.09
609207,"Основы программирования на языке Python",26.09
609207,"Математика для начинающих",26.09
609207,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609207,"Биологический калейдоскоп",26.09
609206,"Биологический калейдоскоп",26.09
609057,"Основы программирования на языке Python",26.09
609210,"Академическое письмо (Academic Writing)",26.09
527188,"Основы программирования на языке Python",26.09
527027,"Подготовка к олимпиаде «Русский медвежонок»",26.09
605766,"Первые шаги в робототехнику",26.09
605766,"Основы программирования на языке Python",26.09
527211,"Подготовка к олимпиаде «Русский медвежонок»",26.09
527189,"Основы программирования на языке Python",26.09
609216,"Основы программирования на языке Python",26.09
609217,"Основы программирования на языке Python",26.09
593141,"Основы программирования на языке Python",26.09
533160,"Академическое письмо (Academic Writing)",26.09
527211,"Академическое письмо (Academic Writing)",26.09
599701,"Математика для начинающих",26.09
599701,"Подготовка к олимпиаде «Русский медвежонок»",26.09
599701,"Биологический калейдоскоп",26.09
609141,"Основы программирования на языке Python",26.09
606344,"Основы программирования на языке Python",26.09
606361,"Основы программирования на языке Python",26.09
606344,"Лингвистика для начинающих",26.09
606344,"Академическое письмо (Academic Writing)",26.09
606361,"Математика для начинающих",26.09
609225,"Основы программирования на языке Python",26.09
571874,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609226,"Основы программирования на языке Python",26.09
604643,"Академическое письмо (Academic Writing)",26.09
568944,"Основы программирования на языке Python",26.09
568944,"Математика для начинающих",26.09
568944,"Первые шаги в робототехнику",26.09
568944,"Биологический калейдоскоп",26.09
609228,"Основы программирования на языке Python",26.09
527211,"Лингвистика для начинающих",26.09
609141,"Математика для начинающих",26.09
547695,"Основы программирования на языке Python",26.09
517485,"Академическое письмо (Academic Writing)",26.09
609076,"Математика для начинающих",26.09
609233,"Первые шаги в робототехнику",26.09
609233,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609233,"Математика для начинающих",26.09
547695,"Первые шаги в робототехнику",26.09
609235,"Основы программирования на языке Python",26.09
547695,"Математика для начинающих",26.09
547695,"Лингвистика для начинающих",26.09
547695,"Биологический калейдоскоп",26.09
547695,"Академическое письмо (Academic Writing)",26.09
547695,"Подготовка к олимпиаде «Русский медвежонок»",26.09
542285,"Основы программирования на языке Python",26.09
568117,"Академическое письмо (Academic Writing)",26.09
504159,"Академическое письмо (Academic Writing)",26.09
609253,"Академическое письмо (Academic Writing)",26.09
567988,"Биологический калейдоскоп",26.09
526550,"Основы программирования на языке Python",26.09
567988,"Математика для начинающих",26.09
609259,"Математика для начинающих",26.09
609257,"Основы программирования на языке Python",26.09
609267,"Биологический калейдоскоп",26.09
568625,"Математика для начинающих",26.09
609273,"Академическое письмо (Academic Writing)",26.09
609275,"Подготовка к олимпиаде «Русский медвежонок»",26.09
436886,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609284,"Математика для начинающих",26.09
609284,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609284,"Первые шаги в робототехнику",26.09
568946,"Лингвистика для начинающих",26.09
609285,"Математика для начинающих",26.09
568946,"Академическое письмо (Academic Writing)",26.09
568946,"Биологический калейдоскоп",26.09
609278,"Биологический калейдоскоп",26.09
568946,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609285,"Первые шаги в робототехнику",26.09
588806,"Первые шаги в робототехнику",26.09
585730,"Основы программирования на языке Python",26.09
585730,"Академическое письмо (Academic Writing)",26.09
604885,"Математика для начинающих",26.09
606146,"Лингвистика для начинающих",26.09
604885,"Первые шаги в робототехнику",26.09
604885,"Подготовка к олимпиаде «Русский медвежонок»",26.09
599806,"Математика для начинающих",26.09
604885,"Основы программирования на языке Python",26.09
599806,"Подготовка к олимпиаде «Русский медвежонок»",26.09
604885,"Биологический калейдоскоп",26.09
599806,"Биологический калейдоскоп",26.09
599630,"Первые шаги в робототехнику",26.09
609292,"Основы программирования на языке Python",26.09
599630,"Математика для начинающих",26.09
609293,"Биологический калейдоскоп",26.09
608853,"Подготовка к олимпиаде «Русский медвежонок»",26.09
599630,"Подготовка к олимпиаде «Русский медвежонок»",26.09
534390,"Основы программирования на языке Python",26.09
608853,"Лингвистика для начинающих",26.09
608853,"Биологический калейдоскоп",26.09
609298,"Основы программирования на языке Python",26.09
608853,"Основы программирования на языке Python",26.09
608853,"Академическое письмо (Academic Writing)",26.09
568077,"Математика для начинающих",26.09
609302,"Академическое письмо (Academic Writing)",26.09
568077,"Подготовка к олимпиаде «Русский медвежонок»",26.09
520166,"Основы программирования на языке Python",26.09
520166,"Академическое письмо (Academic Writing)",26.09
609293,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609314,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609313,"Академическое письмо (Academic Writing)",26.09
609314,"Основы программирования на языке Python",26.09
574675,"Академическое письмо (Academic Writing)",26.09
581637,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609218,"Математика для начинающих",26.09
609323,"Биологический калейдоскоп",26.09
609325,"Основы программирования на языке Python",26.09
529410,"Основы программирования на языке Python",26.09
529410,"Математика для начинающих",26.09
529410,"Биологический калейдоскоп",26.09
529410,"Первые шаги в робототехнику",26.09
453124,"Основы программирования на языке Python",26.09
453124,"Академическое письмо (Academic Writing)",26.09
502343,"Академическое письмо (Academic Writing)",26.09
502343,"Математика для начинающих",26.09
609336,"Основы программирования на языке Python",26.09
502343,"Биологический калейдоскоп",26.09
502343,"Подготовка к олимпиаде «Русский медвежонок»",26.09
502343,"Основы программирования на языке Python",26.09
593362,"Основы программирования на языке Python",26.09
609341,"Основы программирования на языке Python",26.09
593362,"Подготовка к олимпиаде «Русский медвежонок»",26.09
570519,"Математика для начинающих",26.09
609229,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609349,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609346,"Биологический калейдоскоп",26.09
560778,"Основы программирования на языке Python",26.09
560778,"Лингвистика для начинающих",26.09
609352,"Основы программирования на языке Python",26.09
604767,"Основы программирования на языке Python",26.09
609354,"Математика для начинающих",26.09
609355,"Первые шаги в робототехнику",26.09
609354,"Основы программирования на языке Python",26.09
609354,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609229,"Биологический калейдоскоп",26.09
609360,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609360,"Первые шаги в робототехнику",26.09
481568,"Математика для начинающих",26.09
481568,"Биологический калейдоскоп",26.09
539862,"Основы программирования на языке Python",26.09
609318,"Основы программирования на языке Python",26.09
436637,"Основы программирования на языке Python",26.09
459241,"Основы программирования на языке Python",26.09
605482,"Подготовка к олимпиаде «Русский медвежонок»",26.09
609345,"Основы программирования на языке Python",26.09
539957,"Основы программирования на языке Python",26.09
609370,"Математика для начинающих",26.09
609373,"Математика для начинающих",26.09
609372,"Математика для начинающих",26.09
609372,"Биологический калейдоскоп",26.09
609372,"Подготовка к олимпиаде «Русский медвежонок»",26.09
527171,"Биологический калейдоскоп",26.09
609372,"Основы программирования на языке Python",26.09
544783,"Подготовка к олимпиаде «Русский медвежонок»",26.09
608400,"Основы программирования на языке Python",26.09
609378,"Математика для начинающих",26.09
